Day,Platform,Campaign Type,Campaign Name,Impressions,Clicks,Conversions,Revenue,Spend,Region,CTR,CPA,CPC,ROAS,CPM,AdCreative
01/01/23,SnapChat,Retargeting,Retargeting-SnapChat,102704,1593,157,"$3,910.74","$2,101.08",East Midlands,2.0%,$13.38,$0.76,$1.86,$2.05,CreativeC
01/01/23,YouTube,Retargeting,Retargeting-YouTube,83904,1798,110,"$11,700.93","$6,955.66",East Midlands,2.0%,$63.23,$0.26,$1.68,$8.29,CreativeC
01/01/23,TikTok,Prospecting,Prospecting-TikTok,77023,2644,261,"$9,756.09","$1,471.76",North East,3.0%,$5.64,$1.80,$6.63,$1.91,CreativeB
01/01/23,YouTube,Retargeting,Retargeting-YouTube,34385,1570,42,"$4,341.76",$101.55,London,5.0%,$2.42,$15.46,$42.75,$0.30,CreativeC
01/01/23,YouTube,Prospecting,Prospecting-YouTube,78641,2731,11,"$8,860.43","$1,337.07",West Midlands,3.0%,$121.55,$2.04,$6.63,$1.70,CreativeA
01/01/23,Instagram,Prospecting,Prospecting-Instagram,30773,199,69,"$14,827.74",$790.21,Northern Ireland,1.0%,$11.45,$0.25,$18.76,$2.57,CreativeC
01/01/23,TikTok,Prospecting,Prospecting-TikTok,5975,1030,23,"$3,436.98","$4,396.73",Yorkshire and the Humber,17.0%,$191.16,$0.23,$0.78,$73.59,CreativeA
01/01/23,TikTok,Prospecting,Prospecting-TikTok,87179,1678,186,"$9,456.90","$3,296.35",North East,2.0%,$17.72,$0.51,$2.87,$3.78,CreativeB
01/01/23,TikTok,Prospecting,Prospecting-TikTok,70337,1279,185,"$12,905.36","$3,646.85",Scotland,2.0%,$19.71,$0.35,$3.54,$5.18,CreativeC
01/01/23,YouTube,Retargeting,Retargeting-YouTube,21580,1870,35,"$4,518.35","$4,888.27",East Midlands,9.0%,$139.66,$0.38,$0.92,$22.65,CreativeC
01/01/23,SnapChat,Prospecting,Prospecting-SnapChat,109234,1957,7,"$13,557.76","$1,046.09",East of England,2.0%,$149.44,$1.87,$12.96,$0.96,CreativeC
01/01/23,TikTok,Prospecting,Prospecting-TikTok,25177,203,59,"$2,327.64","$4,071.92",East of England,1.0%,$69.02,$0.05,$0.57,$16.17,CreativeA
